id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd,runtime,budget,revenue,film_id,poster_path,backdrop_path
4351,Twitches,"Comedy, Drama, Family, Fantasy, TV Movie",en,6.8,1,26,2005-10-14,506,Stuart Gillard,"Tia Mowry, Tamera Mowry-Housley, Kristen Wilson, Patrick Fabian, Pat Kelly",20000000.0,,1h 26 min,"$20,000,000",,4351,https://image.tmdb.org/t/p/w500/oQ2wWWefU2flwuPgdIkLGhPq6Tk.jpg,https://image.tmdb.org/t/p/w500/biWonOe1GrPEMqvXhr7FbLox6xt.jpg
4352,The Rookie,"Drama, Family",en,6.8,2,7,2002-03-25,439,John Lee Hancock,"Dennis Quaid, Rachel Griffiths, Jay Hernandez, Beth Grant, Angus T. Jones",20000000.0,75597042.0,2h 7 min,"$20,000,000","$75,597,042",4352,https://image.tmdb.org/t/p/w500/sQ2TLmcYxuWNWn5QDNUc2UDQBW1.jpg,https://image.tmdb.org/t/p/w500/mkcbQTI6kR8QkJ4sarKopVL6Tic.jpg
4353,I'm for the Hippopotamus,"Action, Adventure, Comedy",it,6.8,1,35,1979-11-30,461,Italo Zingarelli,"Terence Hill, Bud Spencer, Joe Bugner, May Dlamini, Dawn Jürgens",,,1h 35 min,,,4353,https://image.tmdb.org/t/p/w500/voImabKBh1yzuOj7jfpApHuTW1s.jpg,https://image.tmdb.org/t/p/w500/rXiai6lfW0PIaDHCewU1c1cIr9V.jpg
4354,How the Grinch Stole Christmas,"Family, Comedy, Fantasy",en,6.8,1,44,2000-11-17,7346,Ron Howard,"Jim Carrey, Taylor Momsen, Jeffrey Tambor, Christine Baranski, Bill Irwin",123000000.0,345800000.0,1h 44 min,"$123,000,000","$345,800,000",4354,https://image.tmdb.org/t/p/w500/AmUs3hximCKa90sHuIRr5Bz8ci5.jpg,https://image.tmdb.org/t/p/w500/sy0vo1cmpKqwPRiMUiJ45jyLsX7.jpg
4355,The Last Seduction,"Thriller, Crime, Romance, Drama",en,6.8,1,50,1994-05-26,368,John Dahl,"Linda Fiorentino, Bill Pullman, Peter Berg, Bill Nunn, J.T. Walsh",2500000.0,5842603.0,1h 50 min,"$2,500,000","$5,842,603",4355,https://image.tmdb.org/t/p/w500/kK8IiJDkz2Tv6DwaK60vJVHKH85.jpg,https://image.tmdb.org/t/p/w500/8KbWuuthHkS7U1wntWCrgo36igG.jpg
4356,Goal!,Drama,en,6.8,1,58,2005-09-29,1107,Danny Cannon,"Kuno Becker, Alessandro Nivola, Anna Friel, Stephen Dillane, Gary Lewis",10000000.0,27600000.0,1h 58 min,"$10,000,000","$27,600,000",4356,https://image.tmdb.org/t/p/w500/9YZhJGoIbJtrjDYbENGhR6f6SZE.jpg,https://image.tmdb.org/t/p/w500/hpuWR2rfcjRMni6HLtxPet4o4P4.jpg
4357,Mallrats,"Romance, Comedy",en,6.8,1,34,1995-10-20,1222,Kevin Smith,"Jason Lee, Jeremy London, Shannen Doherty, Claire Forlani, Ben Affleck",6000000.0,2122561.0,1h 34 min,"$6,000,000","$2,122,561",4357,https://image.tmdb.org/t/p/w500/kNm0AQFIc4nlzCd8Nqvbb5gccAV.jpg,https://image.tmdb.org/t/p/w500/dAJwLijbcUJemJaf8HHRjFI5Mte.jpg
4358,Bros,"Comedy, Romance",en,6.8,1,55,2022-09-30,487,Nicholas Stoller,"Billy Eichner, Luke Macfarlane, Guy Branum, Miss Lawrence, Ts Madison",22000000.0,14800000.0,1h 55 min,"$22,000,000","$14,800,000",4358,https://image.tmdb.org/t/p/w500/op02Hv5i4Z049nGJYmk6BScRqHO.jpg,https://image.tmdb.org/t/p/w500/mezKuuKtAKPENnAVlT3TghkMACv.jpg
4359,In Her Name,"Drama, Crime",fr,6.8,1,27,2016-03-16,314,Vincent Garenq,"Daniel Auteuil, Sebastian Koch, Marie-Josée Croze, Christelle Cornil, Lila-Rose Gilberti",,1600000.0,1h 27 min,,"$1,600,000",4359,https://image.tmdb.org/t/p/w500/lVYfYQBBvs6yb7pChIBJ6R4vsrK.jpg,https://image.tmdb.org/t/p/w500/rSWv4coph16vM5yOaOFXE1Y6qgY.jpg
4360,Unthinkable,"Drama, Thriller",en,6.8,1,37,2010-06-14,1166,Gregor Jordan,"Samuel L. Jackson, Carrie-Anne Moss, Michael Sheen, Stephen Root, Lora Kojovic",15000000.0,,1h 37 min,"$15,000,000",,4360,https://image.tmdb.org/t/p/w500/6yQqguytl10FhImngDHV90Aqewa.jpg,https://image.tmdb.org/t/p/w500/p80dRTtTQE5U7FeDoJXanxFX2xO.jpg
4361,Doctor Strange,"Action, Animation, Fantasy, Science Fiction",en,6.8,1,16,2007-08-14,313,Jay Oliva,"Bryce Johnson, Paul Nakauchi, Kevin Michael Richardson, Michael Yama, Susan Spano",,,1h 16 min,,,4361,https://image.tmdb.org/t/p/w500/7ygcpWXsWmEc83j7zE8P0lvC0Q.jpg,https://image.tmdb.org/t/p/w500/vy3uI3PCQWVnoW7OrKzB65Ba02c.jpg
4362,Romancing the Stone,"Romance, Comedy, Action, Adventure",en,6.8,1,46,1984-03-30,1799,Robert Zemeckis,"Michael Douglas, Kathleen Turner, Danny DeVito, Zack Norman, Alfonso Arau",10000000.0,86572238.0,1h 46 min,"$10,000,000","$86,572,238",4362,https://image.tmdb.org/t/p/w500/qfIlVOYZH5RiZ0ndFKUpr5Zn2Bx.jpg,https://image.tmdb.org/t/p/w500/8v5X238laJCSGN5Oq6BHEQEOWL5.jpg
4363,The Good Son,"Thriller, Drama, Horror",en,6.8,1,27,1993-09-24,936,Joseph Ruben,"Macaulay Culkin, Elijah Wood, Wendy Crewson, David Morse, Daniel Hugh Kelly",17000000.0,60613008.0,1h 27 min,"$17,000,000","$60,613,008",4363,https://image.tmdb.org/t/p/w500/iIV9zYVEFbb7AWc3BgnVQlfoeW.jpg,https://image.tmdb.org/t/p/w500/bBE2NdAjrbeRbTrcATvdaf1NeXp.jpg
4364,Spaceman,"Science Fiction, Adventure, Drama",en,6.8,1,48,2024-02-23,776,Johan Renck,"Adam Sandler, Paul Dano, Carey Mulligan, Kunal Nayyar, Isabella Rossellini",40000000.0,,1h 48 min,"$40,000,000",,4364,https://image.tmdb.org/t/p/w500/f46WvKEsBn98WJbPJcO47ZoKn6B.jpg,https://image.tmdb.org/t/p/w500/9ZFNRs58TTnvf3utagd0uSJluXa.jpg
4365,Beverly Hills Cop: Axel F,"Action, Comedy, Crime",en,6.8,1,58,2024-06-20,1060,Mark Molloy,"Eddie Murphy, Joseph Gordon-Levitt, Taylour Paige, Judge Reinhold, John Ashton",150000000.0,,1h 58 min,"$150,000,000",,4365,https://image.tmdb.org/t/p/w500/zszRKfzjM5jltiq8rk6rasKVpUv.jpg,https://image.tmdb.org/t/p/w500/rrwt0u1rW685u9bJ9ougg5HJEHC.jpg
4366,Family Guy Presents: It's a Trap!,"Animation, Comedy, Science Fiction, TV Movie",en,6.8,0,43,2010-12-21,413,Peter Shin,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis, Carrie Fisher",,,0h 43 min,,,4366,https://image.tmdb.org/t/p/w500/nGER5w4H3g2ujD8Zodxn0WXk1l4.jpg,https://image.tmdb.org/t/p/w500/jbYJbHBsCtcewKM68YIyIzjvdhP.jpg
4367,Sun in Buckets,Comedy,it,6.8,1,23,2013-10-31,1656,Gennaro Nunziante,"Checco Zalone, Miriam Dalmazio, Marco Paolini, Robert Dancs, Aurore Erguy",8000000.0,,1h 23 min,"$8,000,000",,4367,https://image.tmdb.org/t/p/w500/jI5WTCv0V3i4J6EcPWmxt4Da6sq.jpg,https://image.tmdb.org/t/p/w500/sOmztcZcgOv2BCnvCpeoDigakLu.jpg
4368,The Night Porter,"War, Drama, Romance",it,6.8,1,58,1974-04-03,326,Liliana Cavani,"Dirk Bogarde, Charlotte Rampling, Philippe Leroy, Gabriele Ferzetti, Giuseppe Addobbati",,,1h 58 min,,,4368,https://image.tmdb.org/t/p/w500/zTUYhMdh2Jwk5s9jbrU4mCH3CY4.jpg,https://image.tmdb.org/t/p/w500/xbQPQQ4VbzNM4GYSDiYzsVPX2LH.jpg
4369,Never Back Down,"Drama, Action",en,6.8,1,55,2008-03-04,2281,Jeff Wadlow,"Sean Faris, Amber Heard, Cam Gigandet, Djimon Hounsou, Evan Peters",20000000.0,41627431.0,1h 55 min,"$20,000,000","$41,627,431",4369,https://image.tmdb.org/t/p/w500/8oRUTyP1QAtGDMvRpKZyuyFPG0U.jpg,https://image.tmdb.org/t/p/w500/friU3sWmplu7NbBEQBUFHyulsyY.jpg
4370,Marvel One-Shot: All Hail the King,"Action, Comedy, Fantasy",en,6.8,0,14,2014-02-04,528,Drew Pearce,"Ben Kingsley, Scoot McNairy, Lester Speight, Sam Rockwell, Matt Gerald",,,0h 14 min,,,4370,https://image.tmdb.org/t/p/w500/ozXvopXv1TiOTls8zb09dBmu9dt.jpg,https://image.tmdb.org/t/p/w500/e6RHrRaG8t5o2REYMfYkvhoamw2.jpg
4371,In the Heart of the Sea,"Thriller, Drama, Adventure, Action, History",en,6.8,2,2,2015-12-03,4071,Ron Howard,"Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson, Ben Whishaw",100000000.0,93900000.0,2h 2 min,"$100,000,000","$93,900,000",4371,https://image.tmdb.org/t/p/w500/weVvNPfk6FM9vBg3BXtRtNAmiYM.jpg,https://image.tmdb.org/t/p/w500/xnuy6CYEoBmXKhTjKDSbzLe1dB5.jpg
